Repository,ReleaseId,TagName,ReleaseName,PublishedAt,PublishedAtKST,IsPreRelease,IsDraft,AuthorLogin,AuthorId,BodySnippet,AssetsCount,TotalDownloadCount,ReleaseUrl,Weekday,HourOfDay,IsWeekend,MajorVersion,MinorVersion,PatchVersion,ReleaseType
stackflow,221756397,@stackflow/react-ui-core@1.3.2,@stackflow/react-ui-core@1.3.2,2025-05-29T08:08:59Z,2025-05-30T02:08:59+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   d2c50f3: fix(react-ui-core): add `preventSwipeBack` into effect dependencies
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.3.2,Thursday,17,FALSE,1,3,2,ScopedPackage
stackflow,221756390,@stackflow/plugin-basic-ui@1.14.2,@stackflow/plugin-basic-ui@1.14.2,2025-05-29T08:08:56Z,2025-05-30T02:08:56+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   371a39c: fix(plugin-basic-ui): update dependencies
-   Updated dependencies [",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.14.2,Thursday,17,FALSE,1,14,2,ScopedPackage
stackflow,218765570,@stackflow/react-ui-core@1.3.1,@stackflow/react-ui-core@1.3.1,2025-05-15T09:08:02Z,2025-05-16T03:08:02+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   aef952a: fix(react-ui-core): prevent default `touchend` event
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.3.1,Thursday,18,FALSE,1,3,1,ScopedPackage
stackflow,218765559,@stackflow/plugin-basic-ui@1.14.1,@stackflow/plugin-basic-ui@1.14.1,2025-05-15T09:07:59Z,2025-05-16T03:07:59+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   aef952a: fix(plugin-basic-ui): prevent touch events while transitioning for o",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.14.1,Thursday,18,FALSE,1,14,1,ScopedPackage
stackflow,217906393,@stackflow/react@1.5.2,@stackflow/react@1.5.2,2025-05-12T07:52:17Z,2025-05-13T01:52:17+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   b9dc68a: fix(react): remove unused dependencies
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.5.2,Monday,16,FALSE,1,5,2,ScopedPackage
stackflow,211240605,@stackflow/react-ui-core@1.3.0,@stackflow/react-ui-core@1.3.0,2025-04-09T10:08:22Z,2025-04-10T04:08:22+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   a7650d4: Support full screen gradient background and introduce new app bar en",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.3.0,Wednesday,19,FALSE,1,3,0,ScopedPackage
stackflow,211240595,@stackflow/plugin-basic-ui@1.14.0,@stackflow/plugin-basic-ui@1.14.0,2025-04-09T10:08:19Z,2025-04-10T04:08:19+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   a7650d4: Support full screen gradient background and introduce new app bar en",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.14.0,Wednesday,19,FALSE,1,14,0,ScopedPackage
stackflow,208587923,@stackflow/react-ui-core@1.2.3,@stackflow/react-ui-core@1.2.3,2025-03-27T06:55:24Z,2025-03-28T00:55:24+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   5c4b96c: fix(react-ui-core): consider nullable stack
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.2.3,Thursday,15,FALSE,1,2,3,ScopedPackage
stackflow,208587919,@stackflow/plugin-basic-ui@1.13.1,@stackflow/plugin-basic-ui@1.13.1,2025-03-27T06:55:22Z,2025-03-28T00:55:22+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   5c4b96c: fix(react-ui-core): consider nullable stack
-   Updated dependencies",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.13.1,Thursday,15,FALSE,1,13,1,ScopedPackage
stackflow,205775211,@stackflow/react-ui-core@1.2.2,@stackflow/react-ui-core@1.2.2,2025-03-14T06:58:35Z,2025-03-15T00:58:35+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   8593b5a: fix(plugin-basic-ui,react-ui-core): prevent touch events while trans",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.2.2,Friday,15,FALSE,1,2,2,ScopedPackage
stackflow,205775206,@stackflow/plugin-basic-ui@1.13.0,@stackflow/plugin-basic-ui@1.13.0,2025-03-14T06:58:32Z,2025-03-15T00:58:32+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   91413b6: To support various background designs, enable users to configure the",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.13.0,Friday,15,FALSE,1,13,0,ScopedPackage
stackflow,202012520,@stackflow/react@1.5.1,@stackflow/react@1.5.1,2025-02-24T11:45:06Z,2025-02-25T05:45:06+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   7751e60: fix(react): pause lazy component transition when no loader defined
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.5.1,Monday,20,FALSE,1,5,1,ScopedPackage
stackflow,200295634,@stackflow/react@1.5.0,@stackflow/react@1.5.0,2025-02-14T02:06:57Z,2025-02-14T20:06:57+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   cfa7af8: Supports dynamic import for activities, and delays transition effect",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.5.0,Friday,11,FALSE,1,5,0,ScopedPackage
stackflow,200295637,@stackflow/plugin-basic-ui@1.12.0,@stackflow/plugin-basic-ui@1.12.0,2025-02-14T02:07:00Z,2025-02-14T20:07:00+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   cfa7af8: Supports dynamic import for activities, and delays transition effect",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.12.0,Friday,11,FALSE,1,12,0,ScopedPackage
stackflow,200295629,@stackflow/core@1.2.0,@stackflow/core@1.2.0,2025-02-14T02:06:54Z,2025-02-14T20:06:54+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   cfa7af8: Supports dynamic import for activities, and delays transition effect",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/core%401.2.0,Friday,11,FALSE,1,2,0,ScopedPackage
stackflow,196072820,@stackflow/react@1.4.2,@stackflow/react@1.4.2,2025-01-22T12:13:17Z,2025-01-23T06:13:17+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   e323ce3: fix: add `decode()` interface to `Config` and support `path: string[",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.4.2,Wednesday,21,FALSE,1,4,2,ScopedPackage
stackflow,196072826,@stackflow/plugin-history-sync@1.7.1,@stackflow/plugin-history-sync@1.7.1,2025-01-22T12:13:19Z,2025-01-23T06:13:19+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   e323ce3: fix: add `decode()` interface to `Config` and support `path: string[",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.7.1,Wednesday,21,FALSE,1,7,1,ScopedPackage
