Repository,Stat Type,Period,Value
stackflow,yearly,2023,17
stackflow,yearly,2024,122
stackflow,yearly,2025,20
stackflow,workday_yearly,2023,16
stackflow,workday_yearly,2024,121
stackflow,workday_yearly,2025,20
stackflow,monthly,2023-12,17
stackflow,monthly,2024-01,18
stackflow,monthly,2024-02,10
stackflow,monthly,2024-05,4
stackflow,monthly,2024-07,44
stackflow,monthly,2024-08,23
stackflow,monthly,2024-09,16
stackflow,monthly,2024-10,1
stackflow,monthly,2024-11,2
stackflow,monthly,2024-12,4
stackflow,monthly,2025-01,5
stackflow,monthly,2025-02,4
stackflow,monthly,2025-03,4
stackflow,monthly,2025-04,2
stackflow,monthly,2025-05,5
stackflow,workday_monthly,2023-12,16
stackflow,workday_monthly,2024-01,17
stackflow,workday_monthly,2024-02,10
stackflow,workday_monthly,2024-05,4
stackflow,workday_monthly,2024-07,44
stackflow,workday_monthly,2024-08,23
stackflow,workday_monthly,2024-09,16
stackflow,workday_monthly,2024-10,1
stackflow,workday_monthly,2024-11,2
stackflow,workday_monthly,2024-12,4
stackflow,workday_monthly,2025-01,5
stackflow,workday_monthly,2025-02,4
stackflow,workday_monthly,2025-03,4
stackflow,workday_monthly,2025-04,2
stackflow,workday_monthly,2025-05,5
stackflow,weekly,2023-W48,1
stackflow,weekly,2023-W51,16
stackflow,weekly,2024-W03,3
stackflow,weekly,2024-W04,2
stackflow,weekly,2024-W05,13
stackflow,weekly,2024-W07,10
stackflow,weekly,2024-W21,3
stackflow,weekly,2024-W22,1
stackflow,weekly,2024-W28,2
stackflow,weekly,2024-W30,30
stackflow,weekly,2024-W31,14
stackflow,weekly,2024-W32,5
stackflow,weekly,2024-W33,15
stackflow,weekly,2024-W34,1
stackflow,weekly,2024-W36,10
stackflow,weekly,2024-W37,1
stackflow,weekly,2024-W39,5
stackflow,weekly,2024-W43,1
stackflow,weekly,2024-W45,1
stackflow,weekly,2024-W47,1
stackflow,weekly,2024-W51,4
stackflow,weekly,2025-W04,5
stackflow,weekly,2025-W07,3
stackflow,weekly,2025-W09,1
stackflow,weekly,2025-W11,2
stackflow,weekly,2025-W13,2
stackflow,weekly,2025-W15,2
stackflow,weekly,2025-W20,3
stackflow,weekly,2025-W22,2
stackflow,workday_weekly,2023-W48,1
stackflow,workday_weekly,2023-W51,15
stackflow,workday_weekly,2024-W03,2
stackflow,workday_weekly,2024-W04,2
stackflow,workday_weekly,2024-W05,13
stackflow,workday_weekly,2024-W07,10
stackflow,workday_weekly,2024-W21,3
stackflow,workday_weekly,2024-W22,1
stackflow,workday_weekly,2024-W28,2
